Name,Population,Sq Mi,X,Y,Zip Code,Total Cases,Daily Cases,GF
Akron,9549,59.61,43.0414,-78.4963,14001,44,0.0,0.0
Alden,12851,46.68,42.894667999999996,-78.4833,14004,79,0.0,0.0
Angola,10113,28.86,42.6361,-79.02794,14006,47,0.0,0.0
Basom,1923,41.17,43.0811,-78.4012,14013,0,0.0,0.0
Boston,3060,23.54,42.6214,-78.7217,14025,14,0.0,0.0
Bowmansville,910,0.79,42.9441,-78.6867,14026,5,0.0,0.0
Chaffee,1867,20.9,42.5737,-78.507,14030,2,0.0,0.0
Clarence,10145,20.83,42.993,-78.607,14031,95,0.0,0.0
Clarence Center,8964,25.14,43.04275,-78.6292,14032,63,0.0,0.0
Colden,2396,19.96,42.6521,-78.6869,14033,4,0.0,0.0
Collins,1922,26.0,42.49089,-78.8573,14034,4,0.0,0.0
Cowlesville,1081,17.91,42.8054,-78.4507,14037,1,0.0,0.0
Depew,25714,9.15,42.89925,-78.70735,14043,137,0.0,0.0
Derby,6463,12.32,42.69266,-78.9934,14047,21,0.0,0.0
East Amherst,20690,16.19,43.0442,-78.695,14051,141,0.0,0.0
East Aurora,17482,62.71,42.775,-78.5753,14052,273,0.0,0.0
East Concord,1312,29.7,42.5468,-78.5954,14055,2,0.0,0.0
Eden,7934,48.1,42.652283000000004,-78.89698,14057,81,0.0,0.6566666666666665
Elma,9381,26.72,42.8255,-78.62666,14059,51,0.0,0.6066666666666665
Getzville,8374,3.8,43.0269,-78.762,14068,198,0.0,0.0
Glenwood,678,5.42,42.6057,-78.6191,14069,3,0.0,0.0
Gowanda,7706,44.41,42.44377,-78.90769,14070,20,0.0,0.0
Grand Island,20809,33.26,43.0119,-78.9559,14072,153,0.0,0.0
Hamburg,43111,38.97,42.716,-78.82434,14075,293,0.0,0.0
Holland,4460,50.61,42.6405,-78.5435,14080,26,0.0,0.0
Irving,3204,40.63,42.4617,-79.027,14081,8,0.0,0.0
Lake View,7831,6.43,42.8957,-78.8878,14085,39,0.0,0.0
Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,264,0.0,0.0
Lawtons,1086,22.21,42.5386,-78.9061,14091,3,0.0,0.0
Marilla,1244,4.86,42.8368,-78.5573,14102,9,0.0,0.0
North Collins,3482,32.93,42.581,-78.8707,14111,21,0.0,0.0
Orchard Park,30810,40.39,42.7429,-78.7569,14127,258,0.0,0.0
Sardinia,139,2.42,42.5276,-78.5045,14134,1,0.0,0.0
South Wales,2371,23.28,42.69757,-78.5433,14139,5,0.0,0.0
Springville,7799,73.22,42.5329,-78.7157,14141,50,0.0,0.0
Strykersville,1405,26.97,42.7296,-78.41938,14145,0,0.0,0.0
Tonawanda,40850,17.07,42.992979999999996,-78.8812,14150,300,0.0,0.0
West Falls,2270,13.31,42.7087,-78.6647,14170,8,0.0,0.0
Allentown,11502,1.02,42.8994,-78.8765,14201,266,0.0,0.0
Waterfront/Canalside/DT Delware and Main,3969,0.82,42.88800000000001,-78.8762,14202,31,0.0,0.0
Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,29,0.0,0.0
downtown right,9233,1.7,42.88449,-78.8623,14204,164,0.0,0.0
West Seneca,20425,4.76,42.880699,-78.81424,14206,190,0.0,0.0
Black Rock/Upper West Side ,24197,3.87,42.951,-78.895,14207,533,0.0,0.6983333333333335
Hamlin Park,10781,1.15,42.9155,-78.8515,14208,261,0.0,0.6619696969696971
Main (allen to park),8509,1.14,42.917,-78.86399999999998,14209,243,0.0,0.6397474747474747
Larkin Square/Seneca,14095,3.87,42.86175,-78.83014,14210,132,0.0,-0.1202525252525252
MLK Park,21831,3.61,42.90795,-78.81925,14211,389,0.0,4.754747474747475
sloan/broadway market/central terminal,10262,2.41,42.8973,-78.81829,14212,164,0.0,4.362747474747475
West Side,26700,2.82,42.9166,-78.8919,14213,469,0.0,4.932444444444445
South Main St/FLR House,19330,3.31,42.9387,-78.83975,14214,243,0.0,5.1576969696969694
South Campus,38599,4.55,42.9334,-78.80815,14215,829,0.0,5.2852645372645375
Lloyds/Hertle,21800,2.84,42.9475,-78.8637,14216,219,0.0,0.38203873081292483
North Elmwood (Clay Handi),22536,3.14,42.9767,-78.8756,14217,241,0.0,0.4807053974795915
Lackawana,18590,8.07,42.8155,-78.8112,14218,196,0.0,0.038281155055349014
Blasdell (wegmans),11999,6.63,42.7879,-78.8293,14219,79,0.0,-0.2605824813082873
south park (mercy hospital of buffalo,23821,4.4,42.84474,-78.82575,14220,172,0.0,-0.29481671554252153
Williamsville,54529,22.92,42.9872,-78.7222,14221,577,0.0,0.9084090909090914
Elmwood Village,12807,1.02,42.9178,-78.8747,14222,91,0.0,0.9002039627039633
South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,164,0.0,0.7870726495726502
West Seneca,41070,20.19,42.83744,-78.7429,14224,294,0.0,1.0245726495726502
Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,311,0.0,1.0548756798756804
Amherst,28674,7.24,42.9761,-78.7937,14226,262,0.0,0.221542346542347
Cheektowaga (bellevue),22419,7.93,42.8855,-78.7448,14227,309,0.0,0.16879509379509425
North Campus,21775,15.28,43.038299,-78.778411,14228,151,0.0,0.0354617604617609
Carbones (Near First Ward)/UB north?,1670,0.97,,,14260,0,0.0,-0.2395382395382391
